0.000000	837.605000	837.605000	0.000000	0.000000	0.000000	0.000000
0.345660	865.924000	851.764500	28.319000	3.380949	14.159500	28.319000
0.695780	841.369000	848.299333	24.555000	2.835699	17.624667	52.874000
2.192160	1009.440000	888.584500	168.071000	19.975896	55.236250	220.945000
2.536390	941.549000	899.177400	67.891000	6.725610	57.767200	288.836000
2.884590	853.001000	902.256600	88.548000	9.404503	62.897333	377.384000
3.230650	834.642000	896.000200	18.359000	2.152284	56.534714	395.743000
3.580550	880.056000	903.737600	45.414000	5.441135	55.144625	441.157000
4.381670	960.500000	893.949600	80.444000	9.140782	57.955667	521.601000
4.729630	933.038000	892.247400	27.462000	2.859136	54.906300	549.063000
5.077150	981.650000	917.977200	48.612000	5.210077	54.334091	597.675000
5.421220	967.599000	944.568600	14.051000	1.431366	50.977167	611.726000
5.769420	866.442000	941.845800	101.157000	10.454434	54.837154	712.883000
6.115300	830.817000	915.909200	35.625000	4.111643	53.464857	748.508000
6.461020	831.649000	895.631400	0.832000	0.100142	49.956000	749.340000
7.266690	1000.080000	899.317400	168.431000	20.252655	57.360687	917.771000
7.614490	896.066000	885.010800	104.014000	10.400568	60.105000	1021.785000
7.962050	1010.463000	913.815000	114.397000	12.766582	63.121222	1136.182000
8.306950	935.639000	934.779400	74.824000	7.404922	63.737158	1211.006000
8.650060	910.880000	950.625600	24.759000	2.646213	61.788250	1235.765000
10.151510	990.600000	948.729600	79.720000	8.751976	62.642143	1315.485000
10.499630	943.033000	958.123000	47.567000	4.801837	61.956909	1363.052000
10.842600	953.167000	946.663800	10.134000	1.074618	59.703739	1373.186000
